rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
1,6,Ristorante,Soléna,Bordeaux,Chartrons,"5 rue Chauffour, 33000 Bordeaux",contact@solena-bordeaux.fr,+33 5 56 44 27 54,solena-bordeaux.fr,@solena_bordeaux,Bistronomie / Vins,Indipendente,✅ Sì,"Bistrot gastronomique nei Chartrons, cucina créative e selezione vini naturali",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
2,6,Ristorante,Miles,Bordeaux,Chartrons,"33 rue du Cancera, 33000 Bordeaux",contact@miles-bordeaux.com,+33 5 56 81 18 24,miles-bordeaux.com,@miles_bordeaux,Bistronomie Créative,Indipendente,✅ Sì,"Bistrot créatif con presentazioni artistiche, tra i migliori del momento a Bordeaux",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
3,6,Ristorante,Racines Bordeaux,Bordeaux,Chartrons,"30 rue Saint-Rémi, 33000 Bordeaux",racines.bordeaux@gmail.com,+33 5 56 39 49 15,,@racines_bordeaux,Natural Wine / Bistro,Indipendente,✅ Sì,"Bar à vins naturels e cucina di stagione, selezione di produttori biologici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
4,6,Ristorante,Hovenia,Bordeaux,Saint-Pierre,"44 rue des Ayres, 33000 Bordeaux",contact@hovenia-bordeaux.fr,+33 5 56 44 35 06,hovenia-bordeaux.fr,@hhovenia,Natural Wine Bar,Indipendente,✅ Sì,"Cave à manger naturel nella città vecchia, selezione vini biodinamici fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
5,6,Ristorante,Le Cheverus Café,Bordeaux,Centre,"1 allée de Chartres, 33000 Bordeaux",contact@cheveruscafe.fr,+33 5 56 48 29 73,cheveruscafe.fr,@cheveruscafe,Café / Brunch,Indipendente,✅ Sì,"Caffè nel cuore di Bordeaux con terrasse sulla piazza, colazioni fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
6,6,Ristorante,Symbiose,Bordeaux,Centre,"61 cours d'Alsace-Lorraine, 33000 Bordeaux",contact@symbiose-bordeaux.fr,+33 5 56 01 83 31,symbiose-bordeaux.fr,@symbiose_bordeaux,Bistronomie / Vegan-Friendly,Indipendente,✅ Sì,"Bistrot bistronomique con menù vegan-friendly, piatti colorati e fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
7,6,Ristorante,Garopapilles,Bordeaux,Centre,"62 rue l'Abbé de l'Épée, 33000 Bordeaux",contact@garopapilles.com,+33 5 56 51 31 14,garopapilles.com,@garopapilles,Cave à Manger / Bistronomie,Indipendente,✅ Sì,"Gastronomia e vineria di qualità, presentazioni curate e fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
8,6,Ristorante,Miss Betsy,Bordeaux,Centre,"16 Place du Palais, 33000 Bordeaux",missbetsy.bordeaux@gmail.com,+33 5 57 95 35 95,,@missbetsy_bordeaux,Brunch / Café Américain,Indipendente,✅ Sì,"Brunch americano sulla piazza del Palazzo, pancakes e waffles fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
9,6,Ristorante,L'Amer,Bordeaux,Chartrons,"58 rue Notre-Dame, 33000 Bordeaux",lamer.bordeaux@gmail.com,+33 5 56 51 99 29,,@lamer_bordeaux,Bar à Vin / Bistro,Indipendente,✅ Sì,"Wine bar con cocktails creativi nel quartiere Notre-Dame, muri di mattoni fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
10,6,Ristorante,La Cagette,Bordeaux,Capucins,"8 rue des Piliers de Tutelle, 33000 Bordeaux",contact@lacagette-bordeaux.fr,+33 5 56 52 71 81,lacagette-bordeaux.fr,@lacagette_bordeaux,Épicerie Fine / Café,Indipendente,✅ Sì,"Epicerie fine e caffè con prodotti locali, décor rurale instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Bordeaux.xlsx
